k_m2,tau_drain_s
1e-17,40.5284734569351
1.2990813969063468e-17,31.197793728283898
1.6876124757881453e-17,24.01527248606502
2.192345972483442e-17,18.48634931056312
2.8480358684357935e-17,14.230324100234833
3.6998304144069506e-17,10.954143546449941
4.8063808630644085e-17,8.432222624799513
6.243879965653645e-17,6.490911689506247
8.11130830789689e-17,4.996539635594666
1.0537249727360746e-16,3.846209827570086
1.368874509537082e-16,2.960715038125796
1.7782794100389228e-16,2.279083547171478
2.310129700083158e-16,1.754380866817833
3.001046517818869e-16,1.3504780154621132
3.8986037025490637e-16,1.039563816923376
5.064603543891714e-16,0.8002299312414187
6.579332246575682e-16,0.6159967598235946
8.54708812559251e-16,0.4741787245129821
1.1103363181676367e-15,0.36501078811704857
1.4424172552410694e-15,0.2809760720046408
1.873817422860387e-15,0.2162882731395906
2.434241355236922e-15,0.16649324180506545
3.1622776601683794e-15,0.12816228621359305
4.108056080177272e-15,0.09865608615349335
5.336699231206302e-15,0.07594295968553974
6.9328066921445094e-15,0.05845896944286288
9.006280202112795e-15,0.04500023599912813
1.1699891065890665e-14,0.03464004342321613
1.5199110829529332e-14,0.02666502923196998
1.9744882128159347e-14,0.02052606502985149
2.565020905680051e-14,0.01580044566778687
3.3321709412448236e-14,0.012162783414044956
4.328761281083062e-14,0.009362603023189774
5.6234132519034906e-14,0.007207094986877671
7.305271542664449e-14,0.00554783942256487
9.490142360424715e-14,0.004270586458844367
1.2328467394420634e-13,0.003287389434576163
1.6015682644458307e-13,0.002530549234562826
2.0805675382171715e-13,0.0019479527923262597
2.7028265839051624e-13,0.0014994847874545397
3.5111917342151276e-13,0.0011542654609829966
4.561323862890225e-13,0.0008885243555421377
5.925530975545687e-13,0.0006839635743057241
7.697747057123718e-13,0.0005264978591291707
1e-12,0.00040528473456935104
