time_s,no_channels,s_100_um,s_50_um,s_25_um,s_10_um
0.0,1.0,1.0,1.0,1.0,1.0
5.0660591821168914e-06,0.9995674918277825,0.9986992194619758,0.9969495356781685,0.9933966745935969,0.9822898986143648
5.157566607568403e-06,0.9995597037196509,0.998675796506905,0.996894606436327,0.9932777695286824,0.9819709955427612
5.250726917167483e-06,0.9995517998660884,0.9986520254441834,0.9968388608461957,0.9931570973185616,0.9816473529923588
5.345569966698957e-06,0.9995437789058808,0.9986279021799208,0.9967822893071783,0.9930346371808714,0.9813189152249129
5.442126151228002e-06,0.9995356263146384,0.9986033830316045,0.9967247893792857,0.9929101673642597,0.9809850875038822
5.5404264148410154e-06,0.9995273535893677,0.998578502576806,0.996666442150484,0.9927838633994563,0.9806463406022216
5.6405022605625414e-06,0.9995189593466479,0.9985532566548495,0.9966072378635584,0.992655704165065,0.9803026178724026
5.74238576045126e-06,0.9995104421975878,0.9985276410886043,0.9965471667227085,0.9925256684561639,0.9799538624428791
5.846109565878408e-06,0.9995018007480577,0.9985016516851875,0.9964862188951915,0.9923937349878632,0.979600017227634
5.951706917991742e-06,0.9994930335989274,0.9984752842366732,0.9964243845129888,0.9922598823989092,0.97924102493584
6.05921165836862e-06,0.9994841393463015,0.9984485345208095,0.9963616536744843,0.9921240892553225,0.978876828081622
6.168658239861445e-06,0.999475116581764,0.9984213983017427,0.996298016446164,0.9919863340540724,0.9785073689939063
6.280081737639081e-06,0.999465963892617,0.9983938713307443,0.9962334628643223,0.9918465952267733,0.9781325898263401
6.393517860427579e-06,0.9994566798621254,0.9983659493469441,0.9961679829367807,0.9917048511434051,0.9777524325672673
6.50900296195407e-06,0.999447263069762,0.9983376280780669,0.9961015666446132,0.991561080116047,0.9773668390497404
6.626574052597309e-06,0.9994377120914522,0.998308903241168,0.9960342039438741,0.991415260402618,0.9769757509615555
6.746268811248651e-06,0.9994280254998192,0.9982797705433715,0.9959658847673261,0.991267370210618,0.9765791098552844
6.868125597387346e-06,0.9994182018644288,0.998250225682604,0.9958965990261652,0.9911173877008622,0.9761768571582919
6.992183463373808e-06,0.9994082397520312,0.9982202643483297,0.9958263366117407,0.9909652909912022,0.9757689341827122
